name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Kash Indian Takeaway,1020018,415356.6,427112.4,Town Gate,"Wyke, Bradford",West Yorkshire,BD12 9NT,Bradford District,NA,Takeaways
Rivoli Pizzeria,1020018,420759.5,441110.3,Ivegate,"Yeadon, Leeds",West Yorkshire,LS19 7RE,Leeds District,NA,Takeaways
Sandwich Express,1020018,415764.8,434080.2,Drill Parade,Bradford,West Yorkshire,BD8 7HY,Bradford District,Sandwich Express,Takeaways
Chicken Ranch,1020018,405960.4,440953.9,Church Street,Keighley,West Yorkshire,BD21 5HT,Bradford District,NA,Takeaways
Mister Khan's Takeaway,1020018,422072.2,434409.4,Town Street,"Stanningley, Pudsey",West Yorkshire,LS28 6ER,Leeds District,NA,Takeaways
Adeels Balti & Pizza,1020018,418384.9,434509.5,Fagley Road,Bradford,West Yorkshire,BD2 3LS,Bradford District,NA,Takeaways
Domino's Pizza,1020018,421906,432976,Chapeltown,Pudsey,West Yorkshire,LS28 7RZ,Leeds District,Domino's Pizza,Takeaways
Kebab Ranch,1020018,410713.3,439238.2,Main Street,Bingley,West Yorkshire,BD16 2JA,Bradford District,NA,Takeaways
Hot & Spicy Takeaway,1020018,408998,426332.3,Boothtown Road,Halifax,West Yorkshire,HX3 6EU,Calderdale District,NA,Takeaways
Red Box Chinese Takeaway,1020018,422219.8,433533.1,Lidget Hill,Pudsey,West Yorkshire,LS28 7LJ,Leeds District,NA,Takeaways
Crusty Cob,1020018,411147.1,438919.9,Leonard Street,Bingley,West Yorkshire,BD16 2PS,Bradford District,NA,Takeaways
Lins,1020018,413803.8,431203.5,Great Horton Road,Bradford,West Yorkshire,BD7 4PU,Bradford District,NA,Takeaways
Chinese,1020018,425106.6,433929.5,Henconner Lane,"Bramley, Leeds",West Yorkshire,LS13 4LG,Leeds District,NA,Takeaways
Valentino's,1020018,411710.2,447736.8,Brook Street,Ilkley,West Yorkshire,LS29 8DE,Bradford District,NA,Takeaways
On a Roll Sandwich Bar,1020018,411923.9,431911.4,Clayton Lane,"Clayton, Bradford",West Yorkshire,BD14 6AX,Bradford District,NA,Takeaways
Jade Garden,1020018,409063.6,426087.4,Haley Hill,Halifax,West Yorkshire,HX3 6EE,Calderdale District,NA,Takeaways
Eastern Taste,1020018,406020.4,441033.1,Church Street,Keighley,West Yorkshire,BD21 5HS,Bradford District,NA,Takeaways
Maggie May's Cafe,1020013,406176.8,441356.2,Cavendish Street,Keighley,West Yorkshire,BD21 3DE,Bradford District,NA,Cafes
Peking City,1020018,411003.3,438621.6,Ashfield Terrace,Bingley,West Yorkshire,BD16 1EQ,Bradford District,NA,Takeaways
Pizza Base,1020018,420325.8,445381,Crossgate,Otley,West Yorkshire,LS21 1AA,Leeds District,Pizza Base,Takeaways
Pizza King,1020018,408119.8,427373.3,Ovenden Road,Halifax,West Yorkshire,HX3 5TJ,Calderdale District,NA,Takeaways
Lin Wah Chinese Takeaway,1020018,406986,433874,Station Road,"Denholme, Bradford",West Yorkshire,BD13 4DE,Bradford District,NA,Takeaways
Greengates Balti,1020018,418894.6,436706.7,Ruswarp Crescent,Bradford,West Yorkshire,BD10 0EQ,Bradford District,NA,Takeaways
Ravis Indian Take Away,1020018,412887.6,433268.3,Thornton Road,Bradford,West Yorkshire,BD8 0JD,Bradford District,NA,Takeaways
Pizza Napolena,1020018,417802.5,437709.4,The Green,Bradford,West Yorkshire,BD10 9PR,Bradford District,NA,Takeaways
Mamas Pizza,1020018,417884.4,437514,Bradford Road,"Idle, Bradford",West Yorkshire,BD10 9PB,Bradford District,NA,Takeaways
Chun Chun House,1020018,414960.2,437632.4,Briggate,Shipley,West Yorkshire,BD17 7BP,Bradford District,NA,Takeaways
Parade Sandwich Bar,1020018,418096.9,435197.8,Harrogate Road,Bradford,West Yorkshire,BD2 3ES,Bradford District,NA,Takeaways
Pizza Napolena,1020018,414618.7,422827.2,Park Street,Brighouse,West Yorkshire,HD6 1JL,Calderdale District,NA,Takeaways
Domino's Pizza,1020018,414539.9,422896.6,Commercial Street,Brighouse,West Yorkshire,HD6 1AQ,Calderdale District,Domino's Pizza,Takeaways
Cooking Pot,1020018,406019.9,441028,Church Street,Keighley,West Yorkshire,BD21 5HS,Bradford District,NA,Takeaways
Romano's Ltd,1020043,422627.1,428827.3,King Street,"Drighlington, Bradford",West Yorkshire,BD11 1EJ,Leeds District,NA,Restaurants
Wrose Balti,1020018,416472.7,436799.3,Wrose Road,Bradford,West Yorkshire,BD2 1PT,Bradford District,NA,Takeaways
Wibsey Pizza,1020018,415056.1,430126.1,High Street,"Wibsey, Bradford",West Yorkshire,BD6 1JU,Bradford District,NA,Takeaways
Simply Scrumptious,1020013,410741.4,439157.3,Main Street,Bingley,West Yorkshire,BD16 2HT,Bradford District,NA,Cafes
Zebs Steakhouse & Pizza Bar,1020018,415362.5,431217.2,Little Horton Lane,Bradford,West Yorkshire,BD5 9BY,Bradford District,NA,Takeaways
Sandwich Bar,1020018,421070.7,434469.2,Bradford Road,"Stanningley, Pudsey",West Yorkshire,LS28 6QB,Leeds District,NA,Takeaways
The Rumblin Tum Cafe,1020013,420243,445471.7,New Inn Court,Otley,West Yorkshire,LS21 3AJ,Leeds District,NA,Cafes
Town Gate Cafe,1020013,419388.5,442184.9,Town Gate,"Guiseley, Leeds",West Yorkshire,LS20 9JA,Leeds District,NA,Cafes
Drop Farm Tea Rooms,1020013,401554,435875,Oxenhope,Keighley,West Yorkshire,BD22 9RE,Bradford District,NA,Cafes
Great Wall,1020043,414693.8,423018.8,Bradford Road,Brighouse,West Yorkshire,HD6 1RY,Calderdale District,NA,Restaurants
Sals Pizza,1020018,415755.2,434248.3,Manningham Lane,Bradford,West Yorkshire,BD8 7DT,Bradford District,NA,Takeaways
Oasis Sandwiches & Snacks,1020018,416943.6,432165.3,Hall Lane,Bradford,West Yorkshire,BD4 7DF,Bradford District,NA,Takeaways
Yazz's Pizza Express,1020018,414848.8,434690,Oak Lane,Bradford,West Yorkshire,BD9 4RD,Bradford District,NA,Takeaways
Wilson House,1020018,409339.2,435985.7,Main Street,"Wilsden, Bradford",West Yorkshire,BD15 0HX,Bradford District,NA,Takeaways
Pizza A Mano,1020018,410691.3,439269.2,Main Street,Bingley,West Yorkshire,BD16 2HZ,Bradford District,NA,Takeaways
Mister Dee's,1020018,409379.6,425125.2,Borough Market,Halifax,West Yorkshire,HX1 1DZ,Calderdale District,NA,Takeaways
Dragon City,1020018,420007.3,445444.3,Westgate,Otley,West Yorkshire,LS21 3AT,Leeds District,NA,Takeaways
Spring Bamboo Chinese Take Away,1020018,418875.5,425826.4,Bradford Road,Cleckheaton,West Yorkshire,BD19 3PT,Kirklees District,NA,Takeaways
Ovenden Kitchen,1020018,408126.5,427375.3,Ovenden Road,Halifax,West Yorkshire,HX3 5TJ,Calderdale District,NA,Takeaways
China Rose,1020018,414102,431441.4,Great Horton Road,Bradford,West Yorkshire,BD7 4EG,Bradford District,NA,Takeaways
Georges Place,1020018,404098.2,446538,Briggate,"Silsden, Keighley",West Yorkshire,BD20 9JS,Bradford District,NA,Takeaways
Babylon Pizza,1020018,416167.7,431997.2,Manchester Road,Bradford,West Yorkshire,BD5 7RA,Bradford District,NA,Takeaways
Jade Garden,1020018,413046.9,431861,Pasture Lane,Bradford,West Yorkshire,BD7 2SQ,Bradford District,NA,Takeaways
Murgatroyds,1020043,421620.9,440900.5,Moorfield Road Estate,"Yeadon, Leeds",West Yorkshire,LS19 7BN,Leeds District,NA,Restaurants
Kim's Lunchtime,1020018,416655.7,432470.4,Wakefield Road,Bradford,West Yorkshire,BD4 7BH,Bradford District,NA,Takeaways
Five Star Wok,1020018,418503.9,430477.1,Dawson Lane,Bradford,West Yorkshire,BD4 6HN,Bradford District,NA,Takeaways
Dial a Roti,1020018,414846.6,434527.8,Heaton Road,Bradford,West Yorkshire,BD8 8RA,Bradford District,NA,Takeaways
Kebab House & Pizza Cottage,1020018,414550.1,423519.4,Old Lane,Brighouse,West Yorkshire,HD6 1TU,Calderdale District,NA,Takeaways
Spicy Bite,1020018,414225.6,430258.3,Beacon Road,Bradford,West Yorkshire,BD6 3EU,Bradford District,NA,Takeaways
Pizza Delight,1020018,409773.7,432713.4,Thornton Road,"Thornton, Bradford",West Yorkshire,BD13 3JD,Bradford District,NA,Takeaways
Dixy Chicken,1020018,418820.7,433126.1,Leeds Road,Bradford,West Yorkshire,BD3 8LG,Bradford District,Dixy Chicken,Takeaways
Pizza Time,1020018,414802.9,437624.5,Commercial Street,Shipley,West Yorkshire,BD18 3SR,Bradford District,NA,Takeaways
Pizza Lambada,1020018,416019.4,432783,Morley Street,Bradford,West Yorkshire,BD7 1AQ,Bradford District,NA,Takeaways
Pizza Box,1020018,418242.3,436139.7,Stony Lane,Bradford,West Yorkshire,BD2 2HL,Bradford District,NA,Takeaways
Ideal Sandwich Bar,1020018,421821.1,441116.4,Victoria Avenue,"Yeadon, Leeds",West Yorkshire,LS19 7AW,Leeds District,NA,Takeaways
Pizza House Co,1020018,422232.4,433490.5,Lidget Hill,Pudsey,West Yorkshire,LS28 7LJ,Leeds District,NA,Takeaways
Cairo Zaks,1020018,415298.5,433802.9,White Abbey Road,Bradford,West Yorkshire,BD8 8DR,Bradford District,NA,Takeaways
Tastebuds,1020018,414550.8,423828.3,Bradford Road,Brighouse,West Yorkshire,HD6 4BN,Calderdale District,NA,Takeaways
Bo Kong,1020018,419275.2,430166.8,Tong Street,Bradford,West Yorkshire,BD4 6LX,Bradford District,NA,Takeaways
Domino's Pizza,1020018,418886.4,442027.5,Otley Road,"Guiseley, Leeds",West Yorkshire,LS20 8BH,Leeds District,Domino's Pizza,Takeaways
Mega Bite,1020018,419209.2,430213.2,Tong Street,Bradford,West Yorkshire,BD4 6LY,Bradford District,NA,Takeaways
