name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
The Little Sweet Shop,9470663,421763,432926,Town Centre,Pudsey,West Yorkshire,LS28 7RZ,Leeds District,,Speciality Outlets
Convive,1020034,426932,438040,,Leeds,West Yorkshire,LS16 5PS,Leeds District,,Restaurants
The Queens Head,1020034,437597,400564,,Barnsley,South Yorkshire,S74 9RR,Barnsley District,,Restaurants
Cupalicious,1020013,427789,420292,Town Centre,Ossett,West Yorkshire,WF5 8NS,Wakefield District,,Cafes
Sue's Fish & Chips,1020020,390102,398656,,Manchester,Greater Manchester,M43 7UQ,Tameside District,,Takeaways
Cafe Barm,1020013,388459,400075,Failsworth,Manchester,Greater Manchester,M40 1LY,Manchester District,,Cafes
Th'Alma,1020034,410215,414431,Edge Hill,Huddersfield,West Yorkshire,HD7 5TD,Kirklees District,,Restaurants
Londis,9470699,417549,420620,Moldgreen,Huddersfield,West Yorkshire,HD5 0RP,Kirklees District,Londis,Convenience Stores
Supreme Vapes,9470699,414501,417823,Bradford Road,Huddersfield,West Yorkshire,HD1 6EA,Kirklees District,,Convenience Stores
Caspian Grill and Fish Bar,1020020,413422,415264,Town Centre,Huddersfield,West Yorkshire,HD1 3UB,Kirklees District,,Takeaways
The Junction,1020034,413219,417209,Town Centre,Huddersfield,West Yorkshire,HD1 4LE,Kirklees District,,Restaurants
Londis,9470699,410134,414318,Town Centre,Huddersfield,West Yorkshire,HD7 5SH,Kirklees District,Londis,Convenience Stores
Key Store,9470699,437167,400906,Town Centre,Barnsley,South Yorkshire,S74 0ET,Barnsley District,Key Store,Convenience Stores
Potters,1020034,436838,400106,,Barnsley,South Yorkshire,S74 0HR,Barnsley District,,Restaurants
Ozzy's Bistro,1020013,422014,434380,Town Centre,Pudsey,West Yorkshire,LS28 6AT,Leeds District,,Cafes
Manchester Plaza Shopping Mall,9470705,383891,401839,Moston,Manchester,Greater Manchester,M8,Manchester District,,Speciality Outlets
Hill Side Cafe,1020013,385954,404013,Higher Blackley,Manchester,Greater Manchester,M9 6RG,Manchester District,,Cafes
Stables Pub,1020034,426932,438040,,Leeds,West Yorkshire,LS16 5PS,Leeds District,,Restaurants
Grilleria,1020018,424250,438979,,Leeds,West Yorkshire,LS18 5NT,Leeds District,,Takeaways
Fodder & Forage,9470669,460934,455414,Hawthorn Terrace,York,North Yorkshire,YO32 4AQ,York,,Speciality Outlets
Nosh,1020018,457854,403216,Princes Street,Doncaster,South Yorkshire,DN1 3NJ,Doncaster District,,Takeaways
B&M Express,9470699,386757,405798,Middleton,Manchester,Greater Manchester,M24 1SQ,Rochdale District,B&M Express,Convenience Stores
Shaunie's Snack Shack,1020018,417654,435643,Town Centre,Bradford,West Yorkshire,BD2 4ST,Bradford District,,Takeaways
Transylvania Food Shop,9470699,390040,413046,Town Centre,Rochdale,Greater Manchester,OL16 1UD,Rochdale District,,Convenience Stores
Green Gate Mini Market,9470699,391636,415453,Town Centre,Rochdale,Greater Manchester,OL16 2NT,Rochdale District,,Convenience Stores
Gourmet Dessert,1020018,384082,398515,City Centre,Manchester,Greater Manchester,M4 2HU,Manchester District,,Takeaways
Pret A Manger,1020013,384086,398603,City Centre,Manchester,Greater Manchester,M4 3AQ,Manchester District,Pret A Manger,Cafes
Black Sheep Coffee,1020013,384678,398046,City Centre,Manchester,Greater Manchester,M1 2GH,Manchester District,Black Sheep Coffee,Cafes
Kiosk Coffee Bar,1020013,384075,398549,City Centre,Manchester,Greater Manchester,M4 3AB,Manchester District,,Cafes
Square Pizza,1020018,433292,417103,Thorpe Park,Wakefield,West Yorkshire,WF2 7EQ,Wakefield District,,Takeaways
Albanna's Coffee Shop,1020013,457548,403338,Town Centre,Doncaster,South Yorkshire,DN1 1EW,Doncaster District,,Cafes
Shawclough News,9470699,388959,414754,Town Centre,Rochdale,Greater Manchester,OL12 6LN,Rochdale District,,Convenience Stores
Phoenix Vaping Solutions,9470699,391876,413260,Rochdale Road,Rochdale,Greater Manchester,OL16 3BU,Rochdale District,,Convenience Stores
Deep Blue,1020020,493357,459127,,Driffield,East Riding of Yorkshire,YO25 9XJ,East Riding of Yorkshire,Deep Blue,Takeaways
Welcome Express,9470699,388439,405102,Middleton,Manchester,Greater Manchester,M24 2XL,Rochdale District,,Convenience Stores
Copmanthope Chippy,1020020,456503,446920,City Centre,York,North Yorkshire,YO23 3SA,York,,Takeaways
The Grand Cafe,1020013,383692,398353,Deansgate,Manchester,Greater Manchester,M3 2BW,Manchester District,,Cafes
Maddison's Bar & Kitchen,1020034,384264,398583,Northern Quarter,Manchester,Greater Manchester,M4 1EA,Manchester District,,Restaurants
Vype,9470699,426453,427666,Morley,Leeds,West Yorkshire,LS27 8DW,Leeds District,,Convenience Stores
The Ox & Plough,1020034,392222,415770,Town Centre,Rochdale,Greater Manchester,OL16 2NT,Rochdale District,,Restaurants
The Green Convenience Store,9470699,445496,411191,Hemsworth,Pontefract,West Yorkshire,WF9 3AB,Wakefield District,,Convenience Stores
Marston's Inns & Taverns,1020034,441047,433594,,Leeds,West Yorkshire,LS25 2EB,Leeds District,Marston's,Restaurants
The Crusader,1020034,441036,432093,,Leeds,West Yorkshire,LS25 2AN,Leeds District,,Restaurants
The B.L.T. Sandwich Shop,1020018,386518,407594,Middleton,Manchester,Greater Manchester,M24 5LH,Rochdale District,,Takeaways
Cafe Salento,1020013,386743,405752,Middleton,Manchester,Greater Manchester,M24 1SQ,Rochdale District,,Cafes
Debby's Place,1020018,432548,424198,Town Centre,Wakefield,West Yorkshire,WF1 2LE,Wakefield District,,Takeaways
Cup & Kitchen,1020013,386817,405808,Middleton,Manchester,Greater Manchester,M24 1SQ,Rochdale District,,Cafes
Express Clayton Grill,1020018,413953,432357,Town Centre,Bradford,West Yorkshire,BD7 2RD,Bradford District,,Takeaways
Bakers + Baristas,1020013,443740,424238,Glasshaughton,Castleford,West Yorkshire,WF10 4SB,Wakefield District,Bakers + Baristas,Cafes
Blue Japanese Street Food,1020018,399214,427195,Town Centre,Hebden Bridge,West Yorkshire,HX7 8AD,Calderdale District,,Takeaways
Biedronka,9470669,427200,433549,Bramley,Leeds,West Yorkshire,LS12 3AB,Leeds District,,Speciality Outlets
Greggs,9470661,390523,402473,,Oldham,Greater Manchester,OL8 3RB,Oldham District,Greggs,Takeaways
Al Ghaza,1020018,414325,433474,Town Centre,Bradford,West Yorkshire,BD8 9AP,Bradford District,,Takeaways
Tilly's Kitchen,1020013,443599,424192,Glasshaughton,Castleford,West Yorkshire,WF10 4SB,Wakefield District,,Cafes
Zid & Taz,9470699,414986,432222,All Saints Road,Bradford,West Yorkshire,BD7 3AZ,Bradford District,,Convenience Stores
Londis,9470699,461468,401655,Balby,Doncaster,South Yorkshire,DN4 6NN,Doncaster District,Londis,Convenience Stores
Posh Homemade Burgers,1020018,457871,402388,,Doncaster,South Yorkshire,DN4 5AD,Doncaster District,,Takeaways
99 & Main,1020034,410739,439161,Town Centre,Bingley,West Yorkshire,BD16 2HT,Bradford District,,Restaurants
The Burgess Cafe,1020013,383937,397321,Cambridge Street,Manchester,Greater Manchester,M1 5GG,Manchester District,,Cafes
Londis,9470699,389952,404167,,Oldham,Greater Manchester,OL9 9QT,Oldham District,Londis,Convenience Stores
Riverside Farm,1020034,457311,455158,Rawcliffe,York,North Yorkshire,YO30 5YA,York,Greene King,Restaurants
Barrel & Stone,1020018,446933,415256,Hemsworth,Pontefract,West Yorkshire,WF9 1AB,Wakefield District,Barrel & Stone,Takeaways
Londis,9470699,417521,433426,Laisterdyke,Bradford,West Yorkshire,BD3 9BD,Bradford District,Londis,Convenience Stores
Green Apple Market,9470699,433815,406599,,Barnsley,South Yorkshire,S70 2NW,Barnsley District,,Convenience Stores
Frankie's Toasties,1020013,384102,397863,City Centre,Manchester,Greater Manchester,M1 4GX,Manchester District,,Cafes
Chatpatea,1020013,424519,421991,Town Centre,Dewsbury,West Yorkshire,WF13 1EL,Kirklees District,,Cafes
Maha Foods,9470669,424708,423853,Town Centre,Batley,West Yorkshire,WF17,Kirklees District,,Speciality Outlets
New York Pizza,1020018,455376,405463,Town Centre,Doncaster,South Yorkshire,DN5 9EX,Doncaster District,,Takeaways
Ls6 Dutch Fries,1020020,428348,435153,Headingley,Leeds,West Yorkshire,LS6 1EG,Leeds District,,Takeaways
Kwas,1020034,414402,417085,Town Centre,Huddersfield,West Yorkshire,HD1 5AW,Kirklees District,,Restaurants
Euro Market,9470699,424497,421968,Town Centre,Dewsbury,West Yorkshire,WF13 2EW,Kirklees District,,Convenience Stores
& Market,9470669,434773,406111,Town Centre,Barnsley,South Yorkshire,S70 3RD,Barnsley District,,Speciality Outlets
Dakota Grill,1020034,384848,398191,City Centre,Manchester,Greater Manchester,M1 2JN,Manchester District,,Restaurants
Spar Store,9470699,435004,400663,,Barnsley,South Yorkshire,S70 5TW,Barnsley District,Spar,Convenience Stores
Orchid Karaoke Bar,1020034,384225,397983,City Centre,Manchester,Greater Manchester,M1 4AL,Manchester District,,Restaurants
Sandbar,1020034,384434,397134,Grosvenor Street,Manchester,Greater Manchester,M1 7HL,Manchester District,,Restaurants
Greene King Local Pubs,1020034,416159,446868,Town Centre,Ilkley,West Yorkshire,LS29 7HR,Bradford District,Greene King,Restaurants
Himalayan Holistic Traders,9470668,384190,399601,Moston,Manchester,Greater Manchester,M8 8PY,Manchester District,,Speciality Outlets
Spice Village,1020018,409075,426078,Town Centre,Halifax,West Yorkshire,HX3 6AD,Calderdale District,,Takeaways
Vapes & Phones,9470699,428305,435107,Headingley,Leeds,West Yorkshire,LS6 1JD,Leeds District,,Convenience Stores
Store.,9470699,383218,398505,Deansgate,Salford,Greater Manchester,M3 5FS,Salford District,,Convenience Stores
Sams Cafe,1020013,490391,409816,Ashby,Scunthorpe,Lincolnshire,DN16 1HJ,North Lincolnshire,,Cafes
Ara Convenience Store,9470699,434496,406394,Town Centre,Barnsley,South Yorkshire,S70 2JB,Barnsley District,,Convenience Stores
Kate's Sandwich Bar,1020018,438621,404519,Town Centre,Barnsley,South Yorkshire,S73 8EL,Barnsley District,,Takeaways
The Alexandra,1020034,409285,424989,Town Centre,Halifax,West Yorkshire,HX1 1BS,Calderdale District,,Restaurants
Salterhebble Convenience Store,9470699,409782,423026,Town Centre,Halifax,West Yorkshire,HX3 0QE,Calderdale District,,Convenience Stores
Caffe Nero,1020013,384431,396788,,Manchester,Greater Manchester,M13 9GP,Manchester District,Caffe Nero,Cafes
Starbucks Coffee Co UK Ltd,1020013,384277,398173,City Centre,Manchester,Greater Manchester,M1 4AH,Manchester District,Starbucks Coffee,Cafes
Fresco,1020013,383601,396792,St. George's,Manchester,Greater Manchester,M15 6HE,Manchester District,,Cafes
Roundhay,1020034,432441,436569,Oakwood,Leeds,West Yorkshire,LS8 4AR,Leeds District,Greene King,Restaurants
Companio Bakery,9470661,385146,398675,,Manchester,Greater Manchester,M4 6AD,Manchester District,,Takeaways
Mace,9470699,434492,405516,Town Centre,Barnsley,South Yorkshire,S70 1YB,Barnsley District,Mace,Convenience Stores
Evoo,1020034,434450,406455,Town Centre,Barnsley,South Yorkshire,S70 2AB,Barnsley District,,Restaurants
Corner Hut,1020018,431119,434269,Harehills,Leeds,West Yorkshire,LS9 7LY,Leeds District,,Takeaways
Felice Convenience Store,9470699,393916,397919,Town Centre,Dukinfield,Greater Manchester,SK16 4JZ,Tameside District,,Convenience Stores
Premier Stores,9470699,462320,404818,Town Centre,Doncaster,South Yorkshire,DN3 3AL,Doncaster District,Premier,Convenience Stores
Vip,9470699,406162,441170,Town Centre,Keighley,West Yorkshire,BD21 3QQ,Bradford District,VIP,Convenience Stores
The Commercial,1020034,426434,433313,Wortley Road,Leeds,West Yorkshire,LS12 3HU,Leeds District,,Restaurants
Vampire Vape,9470699,383601,432398,Town Centre,Burnley,Lancashire,BB11 1TH,Burnley District,,Convenience Stores
Grape Tree,9470672,458926,401532,Hyde Park,Doncaster,South Yorkshire,DN4 5JH,Doncaster District,Grape Tree,Speciality Outlets
Winston Churchill,1020034,417619,431951,Weaverthorpe,Bradford,West Yorkshire,BD4 7EJ,Bradford District,,Restaurants
Ld Nutrition,1020018,443149,425758,,Castleford,West Yorkshire,WF10 1HG,Wakefield District,,Takeaways
Cafe Thorntons,1020013,443601,424206,Glasshaughton,Castleford,West Yorkshire,WF10 4SB,Wakefield District,Cafe Thorntons,Cafes
Spar Store,9470699,456054,413973,Selby Road,"Askern, Doncaster",South Yorkshire,DN6 0EP,Doncaster District,Spar,Convenience Stores
Papa John's Ltd,1020018,408054,424330,,Halifax,West Yorkshire,HX1 3ND,Calderdale District,Papa John's,Takeaways
Cairo Lounge,1020034,431172,434119,Harehills,Leeds,West Yorkshire,LS9 7SG,Leeds District,,Restaurants
Icandiart Lounge,1020013,420237,445401,Town Centre,Otley,West Yorkshire,LS21 3HE,Leeds District,,Cafes
Pizza Deluxe,1020018,456783,403971,Town Centre,Doncaster,South Yorkshire,DN5 9AN,Doncaster District,,Takeaways
Polish Butcher,9470662,432087,435473,Oakwood,Leeds,West Yorkshire,LS8 5JP,Leeds District,,Speciality Outlets
H & A News,9470699,419249,425047,Town Centre,Cleckheaton,West Yorkshire,BD19 3RU,Kirklees District,,Convenience Stores
Starbucks Coffee Co UK Ltd,1020013,461051,451833,Heworth,York,North Yorkshire,YO31 7UL,York,Starbucks Coffee,Cafes
Thompsons,1020020,384973,404025,Higher Blackley,Manchester,Greater Manchester,M9 8LA,Manchester District,,Takeaways
The Great Wall,1020018,393248,400233,Town Centre,Ashton-under-Lyne,Greater Manchester,OL7 9PS,Tameside District,,Takeaways
Chaka Laka,1020034,384563,398594,Northern Quarter,Manchester,Greater Manchester,M4 1LW,Manchester District,,Restaurants
Melkam Cafe & Restaurant,1020013,429581,431588,Churwell,Leeds,West Yorkshire,LS11 8BB,Leeds District,,Cafes
North Brewing Co. City Tap Room,1020034,429986,433155,City Centre,Leeds,West Yorkshire,LS1 4AG,Leeds District,,Restaurants
Morrisons Daily,9470699,425028,434373,,Leeds,West Yorkshire,LS13 4AD,Leeds District,Morrisons Daily,Convenience Stores
Dakota Deluxe Bar & Grill,1020034,429837,433641,,Leeds,West Yorkshire,LS1 5RN,Leeds District,,Restaurants
Ek Barbe-Q,1020018,452936,469860,City Centre,York,North Yorkshire,YO61 3AB,Hambleton District,,Takeaways
Franco's,1020018,428712,435469,Headingley,Leeds,West Yorkshire,LS6 1DR,Leeds District,,Takeaways
Kapow! Coffee,1020013,430208,433689,City Centre,Leeds,West Yorkshire,LS1 6LH,Leeds District,,Cafes
The Food Warehouse by Iceland,9470667,432652,422446,,Wakefield,West Yorkshire,WF1 2PU,Wakefield District,Iceland,Speciality Outlets
Eataliano,1020018,429589,433460,City Centre,Leeds,West Yorkshire,LS1 2DZ,Leeds District,,Takeaways
The Red Lion,1020034,419361,442128,Guiseley,Leeds,West Yorkshire,LS20 9BT,Leeds District,,Restaurants
Mad Hatters Tea Rooms,1020013,395352,404589,Town Centre,Oldham,Greater Manchester,OL4 5AA,Oldham District,,Cafes
Subway,1020018,446363,399232,Town Centre,Mexborough,South Yorkshire,S64 8AP,Rotherham District,Subway,Takeaways
Armley Delikatesy,9470669,427088,433480,Bramley,Leeds,West Yorkshire,LS12 1UX,Leeds District,,Speciality Outlets
The Meanwood Brewery & Terminus Tap Room,1020034,428667,436972,Headingley,Leeds,West Yorkshire,LS6 4HY,Leeds District,,Restaurants
Zana Steakhouse,1020018,413961,434404,Town Centre,Bradford,West Yorkshire,BD9 5ET,Bradford District,,Takeaways
Nook Cafe,1020013,410417,417856,Town Centre,Huddersfield,West Yorkshire,HD3 3XA,Kirklees District,,Cafes
Rana General Store,9470699,388887,413784,Town Centre,Rochdale,Greater Manchester,OL12 7AA,Rochdale District,,Convenience Stores
Londis,9470699,469391,461592,,York,North Yorkshire,YO60 7SE,Ryedale District,Londis,Convenience Stores
Swiezak,9470699,387188,406054,Middleton,Manchester,Greater Manchester,M24 6AF,Rochdale District,,Convenience Stores
Happy Panda,1020018,405418,440678,Town Centre,Keighley,West Yorkshire,BD21 1QX,Bradford District,,Takeaways
900 Degrees,1020034,392658,399124,Town Centre,Ashton-under-Lyne,Greater Manchester,OL7 0PG,Tameside District,,Restaurants
Food Squad Cafe,1020013,393555,398892,Town Centre,Ashton-under-Lyne,Greater Manchester,OL6 7SF,Tameside District,,Cafes
Subway,1020018,392853,398497,,Ashton-under-Lyne,Greater Manchester,OL7 0DA,Tameside District,Subway,Takeaways
Nisa,9470699,393969,399476,Town Centre,Ashton-under-Lyne,Greater Manchester,OL6 6HW,Tameside District,Nisa,Convenience Stores
1904 @ Dean Clough,1020034,408734,425843,Town Centre,Halifax,West Yorkshire,HX3 5AY,Calderdale District,,Restaurants
Engine Room,1020013,409125,425761,Town Centre,Halifax,West Yorkshire,HX3 5AX,Calderdale District,,Cafes
Urban Fresh Burgers & Fries,1020018,459213,405317,,Doncaster,South Yorkshire,DN2 4BG,Doncaster District,,Takeaways
The Cabin Cafe,1020013,423416,427284,Birstall Shopping Park,Batley,West Yorkshire,WF17 9LX,Kirklees District,,Cafes
Costa Coffee,1020013,430200,433606,City Centre,Leeds,West Yorkshire,LS1 6LB,Leeds District,Costa,Cafes
Boltmakers Rest,1020034,392943,405219,Town Centre,Oldham,Greater Manchester,OL1 3AJ,Oldham District,,Restaurants
The Red Lion,1020034,395421,404546,Town Centre,Oldham,Greater Manchester,OL4 5AA,Oldham District,,Restaurants
European Mini Market,9470699,392725,403335,Ashton Road,Oldham,Greater Manchester,OL8 1NW,Oldham District,,Convenience Stores
No.43 Brew Bar,1020013,431561,455073,St. Winifreds Avenue West,Harrogate,North Yorkshire,HG2 8LS,Harrogate District,,Cafes
Nelly's,1020020,392718,403382,Town Centre,Oldham,Greater Manchester,OL8 3ED,Oldham District,,Takeaways
Villain,1020034,414514,422892,Town Centre,Brighouse,West Yorkshire,HD6 1AF,Calderdale District,,Restaurants
Farrii Bakez,7400524,409321,425565,Town Centre,Halifax,West Yorkshire,HX1 1XF,Calderdale District,,Speciality Outlets
Bismallah,1020018,413593,415234,Town Centre,Huddersfield,West Yorkshire,HD1 3UB,Kirklees District,,Takeaways
The Swan Inn,1020034,413456,415286,Town Centre,Huddersfield,West Yorkshire,HD1 3UB,Kirklees District,,Restaurants
M & S Simply Food,9470699,383340,398061,City Centre,Manchester,Greater Manchester,M3 3HP,Manchester District,M & S,Convenience Stores
Lunch Time,1020018,446829,399955,Main Street,Mexborough,South Yorkshire,S64 9ND,Doncaster District,,Takeaways
Subway,1020018,457592,399811,Balby,Doncaster,South Yorkshire,DN4 8SN,Doncaster District,Subway,Takeaways
The Winning Post,1020034,455160,400721,Warmsworth Road,Doncaster,South Yorkshire,DN4 0TS,Doncaster District,,Restaurants
The Lockwood,1020034,457730,403194,Town Centre,Doncaster,South Yorkshire,DN1 3PE,Doncaster District,,Restaurants
Will's Bar,1020034,478416,471595,Town Centre,Malton,North Yorkshire,YO17 7AB,Ryedale District,,Restaurants
Platform 1 3/4,1020034,410830,439042,Town Centre,Bingley,West Yorkshire,BD16,Bradford District,,Restaurants
The Plough,1020034,456351,401438,Balby,Doncaster,South Yorkshire,DN4 0PL,Doncaster District,,Restaurants
Jackie Chan's,1020018,394152,405632,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Takeaways
Cath's Cuisine,1020013,395095,407322,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Cafes
Man Sun,1020018,395048,407261,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Takeaways
W Harrison,9470662,394198,405741,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Speciality Outlets
The Fairway Inn,1020034,388918,402220,Moston,Manchester,Greater Manchester,M40 3NL,Manchester District,Joseph Holt,Restaurants
Manningham Halal Butchers,9470662,415746,434205,Manningham Lane,Bradford,West Yorkshire,BD8 7BZ,Bradford District,,Speciality Outlets
Starbucks Coffee Co UK Ltd,1020013,428164,429158,Churwell,Leeds,West Yorkshire,LS11 8LT,Leeds District,Starbucks Coffee,Cafes
Watersheddings Chippy,1020020,394469,406297,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Takeaways
The Butty Box,1020019,394452,406260,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,
Price Cutters Convenience Store,9470699,394445,406246,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Convenience Stores
Kei Lam,1020018,394416,406203,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Takeaways
The Black Horse Inn,1020034,394405,406181,Town Centre,Oldham,Greater Manchester,OL4 2LN,Oldham District,,Restaurants
Comic Candy,9470663,388355,410460,Town Centre,Rochdale,Greater Manchester,OL11 2SP,Rochdale District,,Speciality Outlets
Lucky Fortune,1020018,395365,404582,Town Centre,Oldham,Greater Manchester,OL4 5AA,Oldham District,,Takeaways
Your Local Mini Market,9470699,414581,422780,Bethel Street,Brighouse,West Yorkshire,HD6 1JN,Calderdale District,,Convenience Stores
Eat...@Smokies,1020034,392943,401618,,Oldham,Greater Manchester,OL8 3HX,Oldham District,,Restaurants
White Swan,1020034,456575,401634,Balby,Doncaster,South Yorkshire,DN4 0QH,Doncaster District,,Restaurants
Donny Multi Market,9470669,456573,401631,Balby,Doncaster,South Yorkshire,DN4 0QH,Doncaster District,,Speciality Outlets
Shop'n Drive,9470699,445446,420655,,Pontefract,West Yorkshire,WF8,Wakefield District,Shop'N Drive,Convenience Stores
Spar Store,9470699,416081,431792,Town Centre,Bradford,West Yorkshire,BD5 7JX,Bradford District,Spar,Convenience Stores
Lynn's,1020013,414589,416408,Town Centre,Huddersfield,West Yorkshire,HD1 2UJ,Kirklees District,,Cafes
Hardy's,1020034,430343,433887,City Centre,Leeds,West Yorkshire,LS1 6NU,Leeds District,,Restaurants
Sweetbay Mini Market,9470669,424469,421599,South Street,Dewsbury,West Yorkshire,WF13 1JS,Kirklees District,,Speciality Outlets
The Village Bakery,9470661,395264,404383,Thomas Street,Oldham,Greater Manchester,OL4 5BT,Oldham District,,Takeaways
Amorino,1020018,430532,433685,,Leeds,West Yorkshire,LS2 7AR,Leeds District,Amorino,Takeaways
Joshi Newsagents,9470699,413432,415246,Town Centre,Huddersfield,West Yorkshire,HD1 3UB,Kirklees District,,Convenience Stores
Santar Deli,9470665,430406,456309,Kings Road,Harrogate,North Yorkshire,HG1 5HY,Harrogate District,,Speciality Outlets
Muffin Break,1020013,433373,420933,Town Centre,Wakefield,West Yorkshire,WF1,Wakefield District,Muffin Break,Cafes
Pepe's Piri Piri,1020018,392934,405084,Town Centre,Oldham,Greater Manchester,OL1 3ST,Oldham District,Pepe's Piri Piri,Takeaways
Yasmins,9470661,415391,433119,Listerhills Road,Bradford,West Yorkshire,BD7 1HZ,Bradford District,,Takeaways
El Diablo,1020034,383553,397563,City Centre,Manchester,Greater Manchester,M1 5LH,Manchester District,,Restaurants
Mr Coopers,1020034,383828,397859,,Manchester,Greater Manchester,M60 2DS,Manchester District,,Restaurants
Cilantro,1020018,414582,418450,Town Centre,Huddersfield,West Yorkshire,HD2 2QA,Kirklees District,,Takeaways
The Parkinson Arms,1020034,489119,411212,Town Centre,Scunthorpe,Lincolnshire,DN15 7PX,North Lincolnshire,,Restaurants
Brewski,1020034,384067,398099,City Centre,Manchester,Greater Manchester,M2 4AF,Manchester District,,Restaurants
Bronte's,1020013,468861,413220,Thorne,Doncaster,South Yorkshire,DN8,Doncaster District,,Cafes
Pot Kettle Black,1020013,383555,398139,City Centre,Manchester,Greater Manchester,M3 3HF,Manchester District,,Cafes
Murgatroyds Fish & Chips,1020020,421621,440899,Yeadon,Leeds,West Yorkshire,LS19 7XS,Leeds District,,Takeaways
Endurance & Whoppi,9470699,386579,401907,Moston,Manchester,Greater Manchester,M9 4HU,Manchester District,,Convenience Stores
Hatch,9470705,384276,397259,,Manchester,Greater Manchester,M60 7HA,Manchester District,,Speciality Outlets
Ol,1020034,384276,397259,,Manchester,Greater Manchester,M60 7HA,Manchester District,,Restaurants
Takk,1020034,384276,397259,,Manchester,Greater Manchester,M60 7HA,Manchester District,,Restaurants
Northern Monkey,1020034,384151,398690,City Centre,Manchester,Greater Manchester,M4 2AD,Manchester District,,Restaurants
Pret A Manger,1020013,384463,396929,Longsight,Manchester,Greater Manchester,M13 9PR,Manchester District,Pret A Manger,Cafes
Delliponti,1020013,385892,439597,Gisburn Road,Nelson,Lancashire,BB9 6EW,Pendle District,,Cafes
Porter + Cole,1020013,384486,398751,High Street,Manchester,Greater Manchester,M4 1AZ,Manchester District,,Cafes
Pull Up,1020034,384601,398748,Ancoats,Manchester,Greater Manchester,M4 5JW,Manchester District,,Restaurants
Foundation Coffee House,1020013,384270,397685,,Manchester,Greater Manchester,M1 6BB,Manchester District,,Cafes
Pit Stop Sandwich Shop,1020018,430037,418064,,Wakefield,West Yorkshire,WF4 5DL,Wakefield District,,Takeaways
Dessert Parlour by Adams,1020018,429884,428014,Middleton,Leeds,West Yorkshire,LS10 4LX,Leeds District,,Takeaways
The Barclay,1020034,392046,407663,Royton,Oldham,Greater Manchester,OL2,Oldham District,,Restaurants
Dixons,1020018,413544,415270,Town Centre,Huddersfield,West Yorkshire,HD1 3UB,Kirklees District,,Takeaways
The Star,1020034,383805,432089,,Burnley,Lancashire,BB11 2EG,Burnley District,Greene King,Restaurants
Creams Cafe,1020018,383881,401866,,Manchester,Greater Manchester,M8 5EL,Manchester District,Creams,Takeaways
The High Sheriff,1020034,390629,414369,Town Centre,Rochdale,Greater Manchester,OL12 9BA,Rochdale District,,Restaurants
Crossgates Road Store,9470699,435636,434778,Cross Gates,Leeds,West Yorkshire,LS15 7NL,Leeds District,,Convenience Stores
Manahatta,1020034,429798,433640,City Centre,Leeds,West Yorkshire,LS1 5PS,Leeds District,Manahatta,Restaurants
P & J Brookes News,9470699,401270,426017,Town Centre,Hebden Bridge,West Yorkshire,HX7 5LH,Calderdale District,,Convenience Stores
Costcutter,9470699,418118,412775,Town Centre,Huddersfield,West Yorkshire,HD8 0WA,Kirklees District,Costcutter,Convenience Stores
Cooplands Quality Baker,9470661,489798,411336,Town Centre,Scunthorpe,Lincolnshire,DN15 6RB,North Lincolnshire,Cooplands Quality Baker,Takeaways
Costcutter,9470699,478545,407236,,Doncaster,Lincolnshire,DN9 1LR,North Lincolnshire,Costcutter,Convenience Stores
Costcutter,9470699,395758,405030,Town Centre,Oldham,Greater Manchester,OL4 4NW,Oldham District,Costcutter,Convenience Stores
Hursts,9470699,440905,424597,Willowbridge Lane,Castleford,West Yorkshire,WF10 5NW,Wakefield District,MRH Retail,Convenience Stores
Indulge,1020018,424543,423030,Town Centre,Batley,West Yorkshire,WF17 6JQ,Kirklees District,,Takeaways
Cafe Etienne,1020013,424741,421784,Town Centre,Dewsbury,West Yorkshire,WF12 8DJ,Kirklees District,,Cafes
Hursts,9470699,452086,410498,Town Centre,Doncaster,South Yorkshire,DN6 8LR,Doncaster District,MRH Retail,Convenience Stores
The Eagle Tavern,1020034,430705,434503,Meanwood,Leeds,West Yorkshire,LS7 2AA,Leeds District,,Restaurants
Hursts,9470699,427722,430757,Ring Road,"Beeston, Leeds",West Yorkshire,LS11 0BD,Leeds District,MRH Retail,Convenience Stores
The Sweet Shop,9470663,442469,420220,Town Centre,Pontefract,West Yorkshire,WF7 5BB,Wakefield District,,Speciality Outlets
Busy Bee's Cafe,1020013,446383,422477,Bondgate,Pontefract,West Yorkshire,WF8 2JJ,Wakefield District,,Cafes
The George Inn,1020034,461480,432385,Town Centre,Selby,North Yorkshire,YO8 4NS,Selby District,Stonegate Pub Company,Restaurants
