name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Bronte Bridge Cafe,1020013,403413,437146,Mill Hill,"Haworth, Keighley",West Yorkshire,BD22 8QH,Bradford District,,Cafes
Harvey's Bar/Kitchen,1020034,414293,408234,Towngate,Holmfirth,West Yorkshire,HD9 1HA,Kirklees District,,Restaurants
Shop Local,9470699,414187.6,408168.4,Victoria Street,Holmfirth,West Yorkshire,HD9 7DF,Kirklees District,Shop Local,Convenience Stores
Rustic Deli Sandwich Bar,1020018,414170,408237.7,Huddersfield Road,Holmfirth,West Yorkshire,HD9 3AZ,Kirklees District,,Takeaways
Hunger Stop Cafe,1020013,444267,397038,Kilnhurst Road,"Rawmarsh, Rotherham",South Yorkshire,S62 5NB,Rotherham District,,Cafes
Phantom the Lounge,1020034,431139.1,434534.2,Roseville Road,Leeds,West Yorkshire,LS8 5DT,Leeds District,,Restaurants
Amigo,9470699,412236,417680,Acre Street,Huddersfield,West Yorkshire,HD3 3EA,Kirklees District,,Convenience Stores
The Little Green Sandwich Shop,1020018,414211.3,416708.8,Town Centre,Huddersfield,West Yorkshire,HD1 4AA,Kirklees District,,Takeaways
Nasza Biedronka,9470699,489170,411493,Frodingham Road,Scunthorpe,Lincolnshire,DN15 7JW,North Lincolnshire,,Convenience Stores
Rena News & Booze,9470699,489110,411299,Town Centre,Scunthorpe,Lincolnshire,DN15 7RA,North Lincolnshire,Go Local,Convenience Stores
Sandhu Desi Sweet Centre,1020018,489178,411139,Town Centre,Scunthorpe,Lincolnshire,DN15 7PN,North Lincolnshire,,Takeaways
McKenzie Meats,9470662,489155,411598,Frodingham Road,Scunthorpe,Lincolnshire,DN15 7JP,North Lincolnshire,,Speciality Outlets
BB's Mini Market,9470699,489084,411743,Frodingham Road,Scunthorpe,Lincolnshire,DN15 7NH,North Lincolnshire,,Convenience Stores
Scunthorpe Fried Chicken,1020018,489152,411608,Frodingham Road,Scunthorpe,Lincolnshire,DN15 7JP,North Lincolnshire,,Takeaways
Apotheca,1020034,384338,398693,Northern Quarter,Manchester,Greater Manchester,M4 1FS,Manchester District,,Restaurants
O'Neill's,1020034,384120,398744,Withy Grove,Manchester,Greater Manchester,M4 2BS,Manchester District,O'Neill's,Restaurants
Mackie Mayor,1020034,384512,398776,Swan Street,Manchester,Greater Manchester,M4 5JZ,Manchester District,,Restaurants
Esquires Coffee Houses,1020013,384398,397751,Whitworth Street,Manchester,Greater Manchester,M1 3NR,Manchester District,Esquires Coffee,Cafes
Village Fish & Chip Shop,1020020,384316,397845,City Centre,Manchester,Greater Manchester,M1 3LY,Manchester District,,Takeaways
Bar Rogue,1020034,384335,398040,Portland Street,Manchester,Greater Manchester,M1 3LA,Manchester District,,Restaurants
Route 66,1020018,457846.6,451520.1,York Road,York,North Yorkshire,YO26 4LT,York,,Takeaways
