PU_ID,pcd,oseast1m,osnrth1m,oslaua,msoa01,lat,long
86,BD1 1JP,416176,434018,E08000032,E02002221,53.802228,-1.75588
87,BD1 1JQ,416400,432900,E08000032,E02002221,53.792158,-1.752534
88,BD1 1JR,416531,432969,E08000032,E02002221,53.792789,-1.750545
89,BD1 1JT,416500,432941,E08000032,E02002221,53.792524,-1.751014
90,BD1 1JU,416495,432879,E08000032,E02002221,53.791967,-1.751093
91,BD1 1JW,416400,432900,E08000032,E02002221,53.792158,-1.752534
92,BD1 1JX,416534,432907,E08000032,E02002221,53.792217,-1.7505
93,BD1 1JY,416610,432793,E08000032,E02002221,53.79119,-1.749352
94,BD1 1JZ,416500,432900,E08000032,E02002221,53.792155,-1.751016
95,BD1 1LA,416292,432856,E08000032,E02002226,53.791781,-1.754179
96,BD1 1LB,416270,432842,E08000032,E02002226,53.791641,-1.75451
97,BD1 1LD,416394,433121,E08000032,E02002221,53.794145,-1.752613
98,BD1 1LE,416394,433121,E08000032,E02002221,53.794145,-1.752613
99,BD1 1LF,416394,433121,E08000032,E02002221,53.794145,-1.752613
100,BD1 1LH,416406,433103,E08000032,E02002221,53.793997,-1.752436
101,BD1 1LJ,416400,433100,E08000032,E02002221,53.793956,-1.752524
102,BD1 1LL,416400,433100,E08000032,E02002221,53.793956,-1.752524
103,BD1 1LN,416445,433123,E08000032,E02002221,53.794161,-1.751839
104,BD1 1LP,416300,433000,E08000032,E02002221,53.79306,-1.754047
105,BD1 1LQ,416399,433109,E08000032,E02002221,53.794037,-1.752538
106,BD1 1LS,416400,433100,E08000032,E02002221,53.793956,-1.752524
107,BD1 1LT,416300,433000,E08000032,E02002221,53.79306,-1.754047
108,BD1 1LU,416300,433000,E08000032,E02002221,53.79306,-1.754047
109,BD1 1LW,416178,434065,E08000032,E02002221,53.802651,-1.755847
110,BD1 1LX,416701,433088,E08000032,E02002221,53.793839,-1.747955
111,BD1 1LZ,416400,433000,E08000032,E02002221,53.793057,-1.752529
112,BD1 1NA,416407,433035,E08000032,E02002221,53.793371,-1.752421
113,BD1 1ND,416300,433000,E08000032,E02002221,53.79306,-1.754047
114,BD1 1NE,416400,433038,E08000032,E02002221,53.793399,-1.752527
115,BD1 1NF,416359,433033,E08000032,E02002221,53.793355,-1.753149
116,BD1 1NG,416300,433000,E08000032,E02002221,53.79306,-1.754047
117,BD1 1NH,416275,433004,E08000032,E02002221,53.793097,-1.754426
118,BD1 1NJ,416300,432800,E08000032,E02002226,53.791263,-1.754057
119,BD1 1NL,416330,433119,E08000032,E02002221,53.794129,-1.753585
120,BD1 1NN,416230,432711,E08000032,E02002226,53.790465,-1.755124
121,BD1 1NP,416200,432900,E08000032,E02002226,53.792165,-1.75557
122,BD1 1NQ,416165,432733,E08000032,E02002226,53.790665,-1.75611
123,BD1 1NR,416176,434018,E08000032,E02002221,53.802228,-1.75588
124,BD1 1NS,416402,433165,E08000032,E02002221,53.79454,-1.75249
125,BD1 1NT,416421,433175,E08000032,E02002221,53.794629,-1.752201
126,BD1 1NU,416400,433100,E08000032,E02002221,53.793956,-1.752524
127,BD1 1NW,416200,432900,E08000032,E02002226,53.792165,-1.75557
128,BD1 1NX,416200,432900,E08000032,E02002226,53.792165,-1.75557
129,BD1 1PA,416437,433175,E08000032,E02002221,53.794629,-1.751958
130,BD1 1PB,416300,433100,E08000032,E02002221,53.793959,-1.754042
131,BD1 1PE,416400,433100,E08000032,E02002221,53.793956,-1.752524
132,BD1 1PG,416437,433175,E08000032,E02002221,53.794629,-1.751958
133,BD1 1PH,416437,433175,E08000032,E02002221,53.794629,-1.751958
134,BD1 1PJ,416390,433179,E08000032,E02002221,53.794666,-1.752671
135,BD1 1PL,416178,434065,E08000032,E02002221,53.802636,-1.755843
136,BD1 1PN,416300,433100,E08000032,E02002221,53.793959,-1.754042
137,BD1 1PP,416377,433147,E08000032,E02002221,53.794379,-1.75287
138,BD1 1PR,416386,433123,E08000032,E02002221,53.794163,-1.752735
139,BD1 1PS,416400,433100,E08000032,E02002221,53.793956,-1.752524
140,BD1 1PT,416363,433167,E08000032,E02002221,53.794574,-1.753085
141,BD1 1PU,416375,433098,E08000032,E02002221,53.793939,-1.752903
142,BD1 1PX,416400,433000,E08000032,E02002221,53.793057,-1.752529
143,BD1 1PZ,416268,433145,E08000032,E02002221,53.794364,-1.754525
144,BD1 1QA,416355,433186,E08000032,E02002221,53.79473,-1.753202
145,BD1 1QB,416394,433202,E08000032,E02002221,53.794888,-1.752613
146,BD1 1QD,416395,433204,E08000032,E02002221,53.794906,-1.752597
147,BD1 1QE,416405,433203,E08000032,E02002221,53.794881,-1.752442
148,BD1 1QF,416400,433200,E08000032,E02002221,53.794855,-1.752518
149,BD1 1QH,416400,433200,E08000032,E02002221,53.794855,-1.752518
150,BD1 1QJ,416400,433200,E08000032,E02002221,53.794855,-1.752518
151,BD1 1QL,416399,433225,E08000032,E02002221,53.795079,-1.752532
152,BD1 1QN,416365,433217,E08000032,E02002221,53.795009,-1.753049
153,BD1 1QP,416241,433237,E08000032,E02002221,53.795207,-1.754933
154,BD1 1QQ,416178,434065,E08000032,E02002221,53.802636,-1.755843
155,BD1 1QR,416200,433190,E08000032,E02002221,53.794771,-1.755555
156,BD1 1QS,416296,433133,E08000032,E02002221,53.794256,-1.754101
157,BD1 1QT,416269,433174,E08000032,E02002221,53.79464,-1.754512
158,BD1 1QU,416213,433218,E08000032,E02002221,53.795022,-1.755356
159,BD1 1QX,416254,433187,E08000032,E02002221,53.794742,-1.754735
160,BD1 1QY,416232,433196,E08000032,E02002221,53.794824,-1.755069
161,BD1 1QZ,416400,433200,E08000032,E02002221,53.794855,-1.752518
162,BD1 1RA,416333,433175,E08000032,E02002221,53.794647,-1.75354
163,BD1 1RB,416313,433161,E08000032,E02002221,53.794522,-1.753844
164,BD1 1RD,416342,433143,E08000032,E02002221,53.794344,-1.753402
165,BD1 1RE,416393,433131,E08000032,E02002221,53.794235,-1.752628
166,BD1 1RF,416300,433100,E08000032,E02002221,53.793959,-1.754042
167,BD1 1RH,416300,433100,E08000032,E02002221,53.793959,-1.754042
168,BD1 1RJ,416326,433089,E08000032,E02002221,53.793859,-1.753647
169,BD1 1RL,416300,433000,E08000032,E02002221,53.79306,-1.754047
170,BD1 1RN,416341,433102,E08000032,E02002221,53.793976,-1.753419
171,BD1 1RP,416300,433100,E08000032,E02002221,53.793959,-1.754042
172,BD1 1RQ,416300,433100,E08000032,E02002221,53.793959,-1.754042
