PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,cls_Sup,cls_Tway,cls_ConSt,cls_Spec,mean3_Sup,mean3_Tway,mean5_ConSt,Spec_ct400,mean5_Sup,mean5_Tway,ConSt_ct800,Spec_ct1600,Sup_ct400,Sup_ct800,Sup_ct1000,Sup_ct1600,Sup_ct2000,Tway_ct400,Tway_ct800,Tway_ct1000,Tway_ct1600,Tway_ct2000,mean3_ConSt,ConSt_ct400,ConSt_ct1000,ConSt_ct1600,ConSt_ct2000,mean3_Spec,mean5_Spec,Spec_ct800,Spec_ct1000,Spec_ct2000
22,BD4 0BE,419396,431108,E02002234,53.77595,-1.707168,1.2012247916189542,0.41012437138019486,0.6337641517157625,0.22800162280123523,1.4446955492961422,0.4858471475596014,1.15110433934552,2,1.4446955492961422,0.6393991233018402,2,13,0,0,0,1,2,0,3,18,40,44,0.7626083849138691,0,3,3,5,0.4593580171065322,0.6460669741846177,3,7,14
23,BD4 0BG,419380,431056,E02002234,53.775483,-1.707414,1.1535358685363886,0.4383811127318329,0.5794695850517091,0.2795967453315513,1.4072297154477935,0.48679803868105437,1.1042129270883716,1,1.4072297154477935,0.6307032947598494,2,14,0,0,0,1,2,0,3,19,40,45,0.7082731585837623,0,3,4,5,0.4868078257987004,0.6409750252783393,3,6,14
24,BD4 0BH,419266,431028,E02002234,53.775235,-1.709146,1.1564605483975663,0.4036359746107871,0.5363366480113028,0.3638719142775273,1.3500245278700533,0.447834177914263,1.0306712781726393,2,1.3500245278700533,0.5718160652666394,2,14,0,0,0,2,2,0,10,23,39,45,0.6616647708201648,0,3,4,5,0.47578160426648536,0.6144024129759803,4,9,14
25,BD4 0BJ,419225,431293,E02002234,53.777619,-1.709752,1.4217232501439936,0.15861904047118683,0.8013020653910734,0.1336973073775333,1.5015897515478387,0.31377790854185394,1.2248287219136715,2,1.5015897515478387,0.4832451430165456,0,13,0,0,0,2,2,2,5,8,43,65,0.9241763220134531,0,2,4,8,0.3325315821318806,0.547572769889146,4,4,19
26,BD4 0BL,419256,431244,E02002234,53.777177,-1.709284,1.3660618580430388,0.215002325568818,0.7520538544545863,0.18618155118056617,1.479583482215591,0.36718210727856393,1.1960809335734355,2,1.479583482215591,0.5172299541147554,1,13,0,0,0,2,2,2,5,9,43,62,0.8763252151788067,0,2,4,8,0.354406602347214,0.5689919457940464,4,5,18
27,BD4 0BQ,419349,431017,E02002234,53.775134,-1.707887,1.1227078872084226,0.452203494015692,0.5348167910602658,0.32927183298909074,1.3727163595442107,0.48095881692529,1.0598118265997154,1,1.3727163595442107,0.6072874696208578,2,14,0,0,0,1,2,0,5,21,39,45,0.6632088840005712,0,3,4,5,0.5037482734129246,0.6331147032001758,3,7,14
28,BD4 0BS,419292,431250,E02002234,53.77723,-1.708738,1.3625699982019273,0.23754157530840786,0.7593345771134092,0.21311773741292334,1.4958014016368453,0.39219918005587917,1.2146801067846587,2,1.4958014016368453,0.5366567697864005,1,13,0,0,0,1,2,2,5,8,43,61,0.8849709578094004,0,2,4,8,0.3624179760394585,0.5800565462295945,3,4,18
29,BD4 0BT,419329,431231,E02002234,53.777058,-1.708177,1.335444869696986,0.27840258619488434,0.7435354732627086,0.2141633488718254,1.4966502785116154,0.43302960421730874,1.2147739056382563,2,1.4966502785116154,0.5655821679258759,1,13,0,0,0,1,2,2,5,8,43,55,0.8704230316448449,0,2,4,5,0.3790125817998259,0.5959172926643286,3,4,15
30,BD4 0BU,419355,431250,E02002234,53.777227,-1.707782,1.3485110307298194,0.28931816396486415,0.7656552749116275,0.18436469293223096,1.5185344503147244,0.4459125200879515,1.2410811734218452,2,1.5185344503147244,0.5777295290580429,1,13,0,0,0,1,2,2,5,8,42,57,0.8931533016093121,0,2,3,5,0.381149923887629,0.6029112759500098,3,4,15
31,BD4 0BX,419383,431235,E02002234,53.777092,-1.707358,1.3284144684547816,0.32104828297313787,0.7553442923594512,0.16142348032425907,1.5194080118229176,0.46567087003562474,1.2420107003631065,2,1.5194080118229176,0.6006149250873143,1,13,0,0,0,1,2,2,4,8,42,54,0.8835042222903197,0,2,3,5,0.39422445682293505,0.6156614100295555,3,4,14
32,BD4 0BY,419394,431267,E02002234,53.777379,-1.707189,1.3579646534427912,0.31590030072793535,0.788818103240538,0.142926344667443,1.544460934198203,0.47306378413924266,1.2721682498148774,2,1.544460934198203,0.6013986745138171,1,13,0,0,0,1,2,2,4,5,42,55,0.9170603478399746,0,2,3,5,0.3893478139482857,0.6164274594976619,3,4,14
33,BD4 0BZ,419433,431310,E02002234,53.777764,-1.706594,1.3944210268064665,0.3379304662204934,0.8388802059889124,0.10453487456345666,1.5882083360717254,0.49534012255515947,1.3243802190409404,2,1.5882083360717254,0.6238790549581895,0,13,0,0,0,1,2,2,2,5,42,56,0.9675605751953226,0,2,3,5,0.39709123683555403,0.6286153108988315,3,4,16
34,BD4 0DA,419522,431281,E02002234,53.7775,-1.705246,1.355994100282151,0.43144988121449285,0.8355513150010596,0.015268922686283087,1.6064036528750245,0.5664311615643385,1.1721777442802235,1,1.6064036528750245,0.6966389293482261,0,13,0,0,0,1,2,0,2,5,41,54,0.964783455588034,0,2,3,4,0.4287507144655259,0.669507559822689,2,4,14
35,BD4 0DB,419541,431338,E02002234,53.778012,-1.704954,1.4115615466567513,0.4382659010235681,0.8956293876375429,0.049827101059565296,1.6523435657515688,0.5814555119438682,1.2268567208229502,1,1.6523435657515688,0.7074656234634114,0,13,0,0,0,1,2,0,2,5,40,55,1.024862154902161,0,1,3,4,0.4490441254295083,0.6812852678935819,2,4,14
36,BD4 0DE,419558,431424,E02002234,53.778784,-1.70469,1.4965456892457376,0.4516923731921981,0.9825197199038807,0.137388281887505,1.717919568950855,0.5765359813290878,1.3044128820298668,1,1.717919568950855,0.7228493445207593,0,13,0,0,0,1,2,0,2,5,40,60,1.111753055772996,0,1,3,4,0.49089146433459085,0.6889046609144835,2,4,17
37,BD4 0DF,419522,431487,E02002234,53.779351,-1.705233,1.561467258702532,0.42422753328844653,1.0323032500191016,0.19894506779510693,1.7459747494865376,0.5358416473899601,1.3402576068142669,1,1.7459747494865376,0.6968971304143765,0,13,0,0,0,1,2,0,3,4,40,64,1.1613583045553253,0,0,3,4,0.48893089734066375,0.6642519203691444,2,4,20
38,BD4 0DG,419400,431400,E02002234,53.778574,-1.707089,1.488259721957159,0.2930017064796722,0.9208001954821686,0.17532352951043637,1.6361226692455488,0.43512676874414613,1.2187889496835753,2,1.6361226692455488,0.5939073355269259,0,13,0,0,0,1,2,2,4,6,42,65,1.0486885251748062,0,1,3,4,0.39740289594835954,0.5936053553822223,4,5,21
39,BD4 0DH,419400,431400,E02002234,53.778574,-1.707089,1.488259721957159,0.2930017064796722,0.9208001954821686,0.17532352951043637,1.6361226692455488,0.43512676874414613,1.2187889496835753,2,1.6361226692455488,0.5939073355269259,0,13,0,0,0,1,2,2,4,6,42,65,1.0486885251748062,0,1,3,4,0.39740289594835954,0.5936053553822223,4,5,21
40,BD4 0DJ,419390,431386,E02002234,53.778449,-1.707242,1.475989498607629,0.2832984292226132,0.9053645674533547,0.17498097039391633,1.6226719616247798,0.42976832599135095,1.2033404179396991,2,1.6226719616247798,0.5859945996156061,0,13,0,0,0,1,2,2,4,5,42,65,1.0331150146893848,0,1,3,4,0.3900239410964702,0.5905747442871859,4,4,21
41,BD4 0DL,419352,431302,E02002234,53.777695,-1.707824,1.4000732123714101,0.26350332066218823,0.8167772034037188,0.18379646351329978,1.5516293316125926,0.42179894743277685,1.2810840552449116,2,1.5516293316125926,0.5647886263848146,0,13,0,0,0,1,2,2,4,5,42,61,0.9440041164886765,0,2,3,5,0.3708710287997655,0.5952311087950046,3,4,18
42,BD4 0DN,419263,431340,E02002234,53.77804,-1.709172,1.4569454348052984,0.16678429182629878,0.8481509299647085,0.1571272414319254,1.5456918557003245,0.32533463101864385,1.276672935391766,2,1.5456918557003245,0.49587463825708045,0,13,0,0,0,1,2,2,4,6,43,65,0.9725128809076595,0,2,4,8,0.3397982316172676,0.5439647024049111,4,5,21
43,BD4 0DP,419332,431378,E02002234,53.778379,-1.708123,1.4785252787828824,0.22597787502319777,0.890067974932252,0.22212865641333915,1.595658441576386,0.38052716756861715,1.4376682629819961,2,1.595658441576386,0.5418859240108084,0,13,0,0,0,1,2,2,4,6,42,65,1.0165197313968122,0,1,3,8,0.36693312584495896,0.5642486458357631,4,5,21
44,BD4 0DQ,419400,431400,E02002234,53.778574,-1.707089,1.488259721957159,0.2930017064796722,0.9208001954821686,0.17532352951043637,1.6361226692455488,0.43512676874414613,1.2187889496835753,2,1.6361226692455488,0.5939073355269259,0,13,0,0,0,1,2,2,4,6,42,65,1.0486885251748062,0,1,3,4,0.39740289594835954,0.5936053553822223,4,5,21
45,BD4 0DR,419273,431425,E02002234,53.778818,-1.709019,1.5370832768591296,0.1680238078368658,0.9333622019344902,0.1804853733686223,1.6076622316698899,0.31603084597796,1.4294917115180663,2,1.6076622316698899,0.4972571699152777,0,13,0,0,0,1,2,2,4,9,42,68,1.0579157158343286,0,1,3,8,0.3567363296504639,0.5291216545714886,4,5,23
46,BD4 0DS,419210,431409,E02002234,53.778662,-1.709972,1.5373535702628722,0.1034842983258813,0.9177461522665186,0.11660518856383417,1.5759281833959393,0.25899143323700385,1.391999655661852,2,1.5759281833959393,0.45194886627348774,0,13,0,0,0,1,2,2,4,9,43,70,1.0399658977471995,0,1,4,8,0.3312822324755377,0.5045296801452962,4,5,23
47,BD4 0DW,419311,431317,E02002234,53.777831,-1.708445,1.423295120486261,0.2198635940759634,0.8274787006322277,0.207920585801425,1.546774358998861,0.3782302867689367,1.2761727196731785,2,1.546774358998861,0.5331239795158148,0,13,0,0,0,1,2,2,4,5,42,64,0.9535250052013529,0,2,3,8,0.35641086546006295,0.5721946611829927,4,4,19
48,BD4 0DX,419349,431782,E02002234,53.782009,-1.70784,1.873589602874653,0.4426511041441103,1.2940262748491622,0.4909189036898367,1.8976624926414782,0.4586613226280761,1.6037462499014954,0,1.8976624926414782,0.5497516288580551,0,13,0,0,0,0,2,0,6,16,50,86,1.419852517689428,0,0,3,7,0.5296807998648708,0.6081843426155173,5,7,27
49,BD4 0DY,419350,431708,E02002234,53.781344,-1.707829,1.8002824778350757,0.38398567681620627,1.2203544567051001,0.4286979939304915,1.8412310167814758,0.4268385939891238,1.6109156929606152,0,1.8412310167814758,0.5471676921796294,0,12,0,0,0,0,2,2,6,14,49,85,1.3463601770991305,0,0,3,6,0.4918351616834826,0.5890583341196007,5,7,25
50,BD4 0DZ,419296,431639,E02002234,53.780726,-1.708653,1.7415510328439991,0.29643549045281337,1.1480461663191077,0.3412793137593048,1.7707728608625244,0.36256932305505873,1.547028026316073,1,1.7707728608625244,0.4980868502449001,0,12,0,0,0,0,2,2,5,13,52,83,1.272894181370474,0,0,3,7,0.44254529235557927,0.5473667236971731,5,7,25
51,BD4 0EA,419294,431599,E02002234,53.780367,-1.708686,1.7026814147103386,0.2659059984280159,1.1079972924154642,0.30758083490363974,1.7402796366410884,0.34862950585795993,1.5253727751333181,2,1.7402796366410884,0.4940928139099062,0,12,0,0,0,0,2,2,5,13,49,83,1.2328625401173774,0,0,3,7,0.4263178441589409,0.5406389525955649,5,6,25
52,BD4 0EB,419384,431639,E02002234,53.780723,-1.707317,1.7270390846764296,0.35998055503040716,1.1551528037450285,0.38176162719686285,1.8014334083195191,0.42974079703294765,1.5925056847971142,2,1.8014334083195191,0.5670240730329759,0,12,0,0,0,0,2,2,4,9,47,82,1.2820250076975934,0,0,3,6,0.4738571338546829,0.5939823795992202,4,5,25
53,BD4 0ED,419384,431712,E02002234,53.781379,-1.707313,1.7993479374484525,0.4095912596723715,1.2276681147606627,0.4497153988913394,1.8562511846352034,0.4538003225473712,1.6308826677241042,0,1.8562511846352034,0.5743830993372614,0,12,0,0,0,0,2,0,6,16,49,84,1.3543542801909294,0,0,3,6,0.5071864215005663,0.6090532785694225,5,6,25
54,BD4 0EE,419422,431776,E02002234,53.781953,-1.706732,1.8582316863082495,0.48249870466147365,1.295870749727765,0.500492897052493,1.918822653275181,0.508863872403487,1.6858644777285512,0,1.918822653275181,0.5979518100494746,0,11,0,0,0,0,2,0,5,16,45,85,1.423066488087349,0,0,3,6,0.5567040047705843,0.648621251873502,4,7,25
55,BD4 0EF,419383,431792,E02002234,53.782098,-1.707323,1.8787809877683987,0.4704083332595204,1.3070944877857913,0.5169899128610086,1.9171605691063842,0.48733850631442527,1.624936620386474,0,1.9171605691063842,0.5711338730376301,0,13,0,0,0,0,2,0,6,16,46,86,1.4335732516092174,0,0,3,7,0.5485873201832743,0.6303339450413659,4,7,27
56,BD4 0EG,419406,431828,E02002234,53.782421,-1.706972,1.9117010749591579,0.513035086519431,1.3454281846311975,0.554778099784046,1.9532132448233,0.5214345640422591,1.6555789297997676,0,1.9532132448233,0.5858920521170032,0,14,0,0,0,0,2,0,5,16,44,89,1.472235389583593,0,0,2,7,0.5787555133793416,0.6553789650509888,4,7,29
57,BD4 0EH,419479,431817,E02002234,53.782319,-1.705864,1.8937140755668473,0.5511669438563964,1.3451576115831185,0.5314903009463096,1.8937140755668473,0.5709598227288855,1.4730690370611246,0,1.8937140755668473,0.6371838752121659,0,9,0,0,0,0,1,0,5,12,34,86,1.4730690370611246,0,0,2,3,0.6067457315770916,0.6971142231114353,4,6,24
58,BD4 0EJ,419481,431809,E02002234,53.782247,-1.705835,1.8855834640768359,0.546725708193789,1.337626629519613,0.5233246984425622,1.8855834640768359,0.5689565468325768,1.465581578300096,0,1.8855834640768359,0.6387907854165001,0,10,0,0,0,0,1,0,5,12,34,86,1.465581578300096,0,0,2,3,0.6032798631561745,0.6958476001054298,4,6,24
59,BD4 0EL,419452,431831,E02002234,53.782446,-1.706273,1.9099424075086664,0.5437738500516552,1.3546017865040634,0.5488580326459639,1.9099424075086664,0.5567783407843074,1.6796803047657554,0,1.9099424075086664,0.6176642960050857,0,9,0,0,0,0,1,0,5,15,37,89,1.482119954709761,0,0,2,6,0.60144739669953,0.684508426183101,4,7,29
60,BD4 0EN,419424,431848,E02002234,53.7826,-1.706697,1.9296022906288228,0.5398120043126126,1.3675031992649962,0.570462917287353,1.9296022906288228,0.5445538469542739,1.6753210240247027,0,1.9296022906288228,0.598290723956631,0,13,0,0,0,0,1,0,5,16,42,89,1.4945606811883967,0,0,2,7,0.5984291605056578,0.6730672849732,4,7,29
61,BD4 0EP,419356,431862,E02002234,53.782728,-1.707728,1.9517656109277057,0.4753794379230365,1.374329290963414,0.5649318277456451,1.962524467872246,0.5051970518062001,1.651061123085416,0,1.962524467872246,0.5540886567703395,0,16,0,0,0,0,2,0,7,17,47,91,1.5001396761970527,0,0,2,7,0.5786516775879188,0.6385429236812851,4,7,29
62,BD4 0EQ,419489,431768,E02002234,53.781878,-1.705716,1.8440959844867078,0.523748031022552,1.298745548596799,0.4817301526788612,1.8440959844867078,0.558297670748323,1.5678965844971517,0,1.8440959844867078,0.6463606230382858,0,10,0,0,0,0,1,0,5,9,41,82,1.4268926675266225,0,0,3,4,0.5852006354497201,0.6887406635792247,4,5,24
63,BD4 0ER,419354,431868,E02002234,53.782782,-1.707758,1.9579849335477533,0.4730348930047571,1.3801539769170685,0.5680431321651552,1.9665842701015457,0.5072886019772217,1.6535102039305556,0,1.9665842701015457,0.5530600514587722,0,16,0,0,0,0,2,0,7,17,47,92,1.505913004566101,0,0,2,7,0.5815638170880657,0.6396345173847208,4,7,29
64,BD4 0ES,419293,431816,E02002234,53.782317,-1.708687,1.8952780482029516,0.4184521597506926,1.324798852656508,0.49716573695301064,1.9057175699420557,0.43989763872691406,1.5974586173984273,0,1.9057175699420557,0.5161263875839958,0,17,0,0,0,0,2,0,6,17,51,88,1.4492982397098755,0,0,3,8,0.5293581537462289,0.5893297452754593,5,7,29
65,BD4 0ET,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,0.33156418684775774,1.308844146565969,0.4207386362101774,1.8649316199530552,0.38040283079407916,1.550298923786596,0,1.8649316199530552,0.4646326071302609,0,17,0,0,0,0,2,2,13,17,55,88,1.430816762828528,0,0,3,8,0.47815464340846825,0.5416520691436785,6,7,29
66,BD4 0EU,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,0.33156418684775774,1.308844146565969,0.4207386362101774,1.8649316199530552,0.38040283079407916,1.550298923786596,0,1.8649316199530552,0.4646326071302609,0,17,0,0,0,0,2,2,13,17,55,88,1.430816762828528,0,0,3,8,0.47815464340846825,0.5416520691436785,6,7,29
67,BD4 0EW,419389,431862,E02002234,53.782727,-1.707228,1.9474747751896557,0.5083158565301928,1.377339464329691,0.5802562968206694,1.9474747751896557,0.5273140459317889,1.6663861121795986,0,1.9474747751896557,0.5751791194667435,0,15,0,0,0,0,1,0,5,17,45,90,1.5037739518229774,0,0,2,7,0.5917543005115706,0.6572921912021626,4,7,29
68,BD4 0EX,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,0.33156418684775774,1.308844146565969,0.4207386362101774,1.8649316199530552,0.38040283079407916,1.550298923786596,0,1.8649316199530552,0.4646326071302609,0,17,0,0,0,0,2,2,13,17,55,88,1.430816762828528,0,0,3,8,0.47815464340846825,0.5416520691436785,6,7,29
69,BD4 0EY,419200,431800,E02002234,53.782177,-1.7101,1.8109789286460491,0.33156418684775774,1.308844146565969,0.4207386362101774,1.8649316199530552,0.38040283079407916,1.550298923786596,0,1.8649316199530552,0.4646326071302609,0,17,0,0,0,0,2,2,13,17,55,88,1.430816762828528,0,0,3,8,0.47815464340846825,0.5416520691436785,6,7,29
70,BD4 0EZ,419252,431793,E02002234,53.782112,-1.709311,1.8485800172023905,0.38353149805461517,1.3010096079583733,0.4614082465669932,1.8748650976920045,0.40353434032272545,1.5674840535365413,0,1.8748650976920045,0.49460041121501486,0,16,0,0,0,0,2,1,9,17,54,88,1.4244794233242672,0,0,3,8,0.5043896195984949,0.5623655746662811,5,7,29
71,BD4 0HA,419189,431814,E02002234,53.782303,-1.710266,1.8107478234144014,0.31726488932753705,1.3232717030149175,0.4075904807524337,1.8728699065309518,0.38314303065736793,1.5536538576307573,0,1.8728699065309518,0.4621627671805876,0,17,0,0,0,0,2,1,13,17,54,88,1.4449149882211252,0,0,3,8,0.47172052659241653,0.5413936928539336,7,7,29
72,BD4 0HB,419137,431854,E02002234,53.782664,-1.711052,1.7951814615798578,0.25828552030652413,1.3664347770749983,0.3516276439644642,1.8906599630189813,0.38519504666159016,1.556030377824258,1,1.8906599630189813,0.4453805844808249,0,18,0,0,0,0,2,1,14,17,54,89,1.4864766157183578,0,0,2,8,0.4429713429965576,0.5328645300088279,7,7,29
73,BD4 0HG,419701,430830,E02002234,53.77344,-1.702558,0.9041161429816414,0.5766125215428468,0.5660035335578746,0.4875230661209825,1.4264072491473678,0.7170091250270214,1.130571637046239,0,1.4264072491473678,0.7455332529008906,2,11,0,0,1,1,2,0,8,17,27,43,0.6784871364742184,0,3,3,8,0.6900894368473801,0.7577371030234186,3,6,15
